#  x     x-floor(x+0.5)     xsum
  0.00050   0.00050   0.00050
  0.00150   0.00150   0.00150
  0.00250   0.00250   0.00250
  0.00350   0.00350   0.00350
  0.00450   0.00450   0.00450
  0.00550   0.00550   0.00550
  0.00650   0.00650   0.00650
  0.00750   0.00750   0.00750
  0.00850   0.00850   0.00850
  0.00950   0.00950   0.00950
  0.01050   0.01050   0.01050
  0.01150   0.01150   0.01150
  0.01250   0.01250   0.01250
  0.01350   0.01350   0.01350
  0.01450   0.01450   0.01450
  0.01550   0.01550   0.01550
  0.01650   0.01650   0.01650
  0.01750   0.01750   0.01750
  0.01850   0.01850   0.01850
  0.01950   0.01950   0.01950
  0.02050   0.02050   0.02050
  0.02150   0.02150   0.02150
  0.02250   0.02250   0.02250
  0.02350   0.02350   0.02350
  0.02450   0.02450   0.02450
  0.02550   0.02550   0.02550
  0.02650   0.02650   0.02650
  0.02750   0.02750   0.02750
  0.02850   0.02850   0.02850
  0.02950   0.02950   0.02950
  0.03050   0.03050   0.03050
  0.03150   0.03150   0.03150
  0.03250   0.03250   0.03250
  0.03350   0.03350   0.03350
  0.03450   0.03450   0.03450
  0.03550   0.03550   0.03550
  0.03650   0.03650   0.03650
  0.03750   0.03750   0.03750
  0.03850   0.03850   0.03850
  0.03950   0.03950   0.03950
  0.04050   0.04050   0.04050
  0.04150   0.04150   0.04150
  0.04250   0.04250   0.04250
  0.04350   0.04350   0.04350
  0.04450   0.04450   0.04450
  0.04550   0.04550   0.04550
  0.04650   0.04650   0.04650
  0.04750   0.04750   0.04750
  0.04850   0.04850   0.04850
  0.04950   0.04950   0.04950
  0.05050   0.05050   0.05050
  0.05150   0.05150   0.05150
  0.05250   0.05250   0.05250
  0.05350   0.05350   0.05350
  0.05450   0.05450   0.05450
  0.05550   0.05550   0.05550
  0.05650   0.05650   0.05650
  0.05750   0.05750   0.05750
  0.05850   0.05850   0.05850
  0.05950   0.05950   0.05950
  0.06050   0.06050   0.06050
  0.06150   0.06150   0.06150
  0.06250   0.06250   0.06250
  0.06350   0.06350   0.06350
  0.06450   0.06450   0.06450
  0.06550   0.06550   0.06550
  0.06650   0.06650   0.06650
  0.06750   0.06750   0.06750
  0.06850   0.06850   0.06850
  0.06950   0.06950   0.06950
  0.07050   0.07050   0.07050
  0.07150   0.07150   0.07150
  0.07250   0.07250   0.07250
  0.07350   0.07350   0.07350
  0.07450   0.07450   0.07450
  0.07550   0.07550   0.07550
  0.07650   0.07650   0.07650
  0.07750   0.07750   0.07750
  0.07850   0.07850   0.07850
  0.07950   0.07950   0.07950
  0.08050   0.08050   0.08050
  0.08150   0.08150   0.08150
  0.08250   0.08250   0.08250
  0.08350   0.08350   0.08350
  0.08450   0.08450   0.08450
  0.08550   0.08550   0.08550
  0.08650   0.08650   0.08650
  0.08750   0.08750   0.08750
  0.08850   0.08850   0.08850
  0.08950   0.08950   0.08950
  0.09050   0.09050   0.09050
  0.09150   0.09150   0.09150
  0.09250   0.09250   0.09250
  0.09350   0.09350   0.09350
  0.09450   0.09450   0.09450
  0.09550   0.09550   0.09550
  0.09650   0.09650   0.09650
  0.09750   0.09750   0.09750
  0.09850   0.09850   0.09850
  0.09950   0.09950   0.09950
  0.10050   0.10050   0.10050
  0.10150   0.10150   0.10150
  0.10250   0.10250   0.10250
  0.10350   0.10350   0.10350
  0.10450   0.10450   0.10450
  0.10550   0.10550   0.10550
  0.10650   0.10650   0.10650
  0.10750   0.10750   0.10750
  0.10850   0.10850   0.10850
  0.10950   0.10950   0.10950
  0.11050   0.11050   0.11050
  0.11150   0.11150   0.11150
  0.11250   0.11250   0.11250
  0.11350   0.11350   0.11350
  0.11450   0.11450   0.11450
  0.11550   0.11550   0.11550
  0.11650   0.11650   0.11650
  0.11750   0.11750   0.11750
  0.11850   0.11850   0.11850
  0.11950   0.11950   0.11950
  0.12050   0.12050   0.12050
  0.12150   0.12150   0.12150
  0.12250   0.12250   0.12250
  0.12350   0.12350   0.12350
  0.12450   0.12450   0.12450
  0.12550   0.12550   0.12550
  0.12650   0.12650   0.12650
  0.12750   0.12750   0.12750
  0.12850   0.12850   0.12850
  0.12950   0.12950   0.12950
  0.13050   0.13050   0.13050
  0.13150   0.13150   0.13150
  0.13250   0.13250   0.13250
  0.13350   0.13350   0.13350
  0.13450   0.13450   0.13450
  0.13550   0.13550   0.13550
  0.13650   0.13650   0.13650
  0.13750   0.13750   0.13750
  0.13850   0.13850   0.13850
  0.13950   0.13950   0.13950
  0.14050   0.14050   0.14050
  0.14150   0.14150   0.14150
  0.14250   0.14250   0.14250
  0.14350   0.14350   0.14350
  0.14450   0.14450   0.14450
  0.14550   0.14550   0.14550
  0.14650   0.14650   0.14650
  0.14750   0.14750   0.14750
  0.14850   0.14850   0.14850
  0.14950   0.14950   0.14950
  0.15050   0.15050   0.15050
  0.15150   0.15150   0.15150
  0.15250   0.15250   0.15250
  0.15350   0.15350   0.15350
  0.15450   0.15450   0.15450
  0.15550   0.15550   0.15550
  0.15650   0.15650   0.15650
  0.15750   0.15750   0.15750
  0.15850   0.15850   0.15850
  0.15950   0.15950   0.15950
  0.16050   0.16050   0.16050
  0.16150   0.16150   0.16150
  0.16250   0.16250   0.16250
  0.16350   0.16350   0.16350
  0.16450   0.16450   0.16450
  0.16550   0.16550   0.16550
  0.16650   0.16650   0.16650
  0.16750   0.16750   0.16750
  0.16850   0.16850   0.16850
  0.16950   0.16950   0.16950
  0.17050   0.17050   0.17050
  0.17150   0.17150   0.17150
  0.17250   0.17250   0.17250
  0.17350   0.17350   0.17350
  0.17450   0.17450   0.17450
  0.17550   0.17550   0.17550
  0.17650   0.17650   0.17650
  0.17750   0.17750   0.17750
  0.17850   0.17850   0.17850
  0.17950   0.17950   0.17950
  0.18050   0.18050   0.18050
  0.18150   0.18150   0.18150
  0.18250   0.18250   0.18250
  0.18350   0.18350   0.18350
  0.18450   0.18450   0.18450
  0.18550   0.18550   0.18550
  0.18650   0.18650   0.18650
  0.18750   0.18750   0.18750
  0.18850   0.18850   0.18850
  0.18950   0.18950   0.18950
  0.19050   0.19050   0.19050
  0.19150   0.19150   0.19150
  0.19250   0.19250   0.19250
  0.19350   0.19350   0.19350
  0.19450   0.19450   0.19450
  0.19550   0.19550   0.19550
  0.19650   0.19650   0.19650
  0.19750   0.19750   0.19750
  0.19850   0.19850   0.19850
  0.19950   0.19950   0.19950
  0.20050   0.20050   0.20050
  0.20150   0.20150   0.20150
  0.20250   0.20250   0.20250
  0.20350   0.20350   0.20350
  0.20450   0.20450   0.20450
  0.20550   0.20550   0.20550
  0.20650   0.20650   0.20650
  0.20750   0.20750   0.20750
  0.20850   0.20850   0.20850
  0.20950   0.20950   0.20950
  0.21050   0.21050   0.21050
  0.21150   0.21150   0.21150
  0.21250   0.21250   0.21250
  0.21350   0.21350   0.21350
  0.21450   0.21450   0.21450
  0.21550   0.21550   0.21550
  0.21650   0.21650   0.21650
  0.21750   0.21750   0.21750
  0.21850   0.21850   0.21850
  0.21950   0.21950   0.21950
  0.22050   0.22050   0.22050
  0.22150   0.22150   0.22150
  0.22250   0.22250   0.22250
  0.22350   0.22350   0.22350
  0.22450   0.22450   0.22450
  0.22550   0.22550   0.22550
  0.22650   0.22650   0.22650
  0.22750   0.22750   0.22750
  0.22850   0.22850   0.22850
  0.22950   0.22950   0.22950
  0.23050   0.23050   0.23050
  0.23150   0.23150   0.23150
  0.23250   0.23250   0.23250
  0.23350   0.23350   0.23350
  0.23450   0.23450   0.23450
  0.23550   0.23550   0.23550
  0.23650   0.23650   0.23650
  0.23750   0.23750   0.23750
  0.23850   0.23850   0.23850
  0.23950   0.23950   0.23950
  0.24050   0.24050   0.24050
  0.24150   0.24150   0.24150
  0.24250   0.24250   0.24250
  0.24350   0.24350   0.24350
  0.24450   0.24450   0.24450
  0.24550   0.24550   0.24550
  0.24650   0.24650   0.24650
  0.24750   0.24750   0.24750
