#  x     x-floor(x+0.5)     xsum
  0.00050   0.00050   0.00100
  0.00150   0.00150   0.00300
  0.00250   0.00250   0.00499
  0.00350   0.00350   0.00697
  0.00450   0.00450   0.00895
  0.00550   0.00550   0.01090
  0.00650   0.00650   0.01284
  0.00750   0.00750   0.01475
  0.00850   0.00850   0.01664
  0.00950   0.00950   0.01850
  0.01050   0.01050   0.02033
  0.01150   0.01150   0.02212
  0.01250   0.01250   0.02387
  0.01350   0.01350   0.02559
  0.01450   0.01450   0.02726
  0.01550   0.01550   0.02889
  0.01650   0.01650   0.03046
  0.01750   0.01750   0.03199
  0.01850   0.01850   0.03347
  0.01950   0.01950   0.03489
  0.02050   0.02050   0.03626
  0.02150   0.02150   0.03757
  0.02250   0.02250   0.03883
  0.02350   0.02350   0.04003
  0.02450   0.02450   0.04117
  0.02550   0.02550   0.04224
  0.02650   0.02650   0.04326
  0.02750   0.02750   0.04422
  0.02850   0.02850   0.04512
  0.02950   0.02950   0.04596
  0.03050   0.03050   0.04674
  0.03150   0.03150   0.04746
  0.03250   0.03250   0.04813
  0.03350   0.03350   0.04874
  0.03450   0.03450   0.04929
  0.03550   0.03550   0.04980
  0.03650   0.03650   0.05025
  0.03750   0.03750   0.05065
  0.03850   0.03850   0.05100
  0.03950   0.03950   0.05131
  0.04050   0.04050   0.05157
  0.04150   0.04150   0.05180
  0.04250   0.04250   0.05199
  0.04350   0.04350   0.05214
  0.04450   0.04450   0.05226
  0.04550   0.04550   0.05235
  0.04650   0.04650   0.05242
  0.04750   0.04750   0.05247
  0.04850   0.04850   0.05249
  0.04950   0.04950   0.05251
  0.05050   0.05050   0.05251
  0.05150   0.05150   0.05250
  0.05250   0.05250   0.05249
  0.05350   0.05350   0.05247
  0.05450   0.05450   0.05246
  0.05550   0.05550   0.05246
  0.05650   0.05650   0.05246
  0.05750   0.05750   0.05248
  0.05850   0.05850   0.05252
  0.05950   0.05950   0.05257
  0.06050   0.06050   0.05265
  0.06150   0.06150   0.05276
  0.06250   0.06250   0.05289
  0.06350   0.06350   0.05306
  0.06450   0.06450   0.05327
  0.06550   0.06550   0.05351
  0.06650   0.06650   0.05380
  0.06750   0.06750   0.05413
  0.06850   0.06850   0.05451
  0.06950   0.06950   0.05493
  0.07050   0.07050   0.05541
  0.07150   0.07150   0.05594
  0.07250   0.07250   0.05653
  0.07350   0.07350   0.05717
  0.07450   0.07450   0.05788
  0.07550   0.07550   0.05864
  0.07650   0.07650   0.05945
  0.07750   0.07750   0.06034
  0.07850   0.07850   0.06128
  0.07950   0.07950   0.06228
  0.08050   0.08050   0.06335
  0.08150   0.08150   0.06447
  0.08250   0.08250   0.06566
  0.08350   0.08350   0.06691
  0.08450   0.08450   0.06821
  0.08550   0.08550   0.06958
  0.08650   0.08650   0.07100
  0.08750   0.08750   0.07249
  0.08850   0.08850   0.07402
  0.08950   0.08950   0.07561
  0.09050   0.09050   0.07725
  0.09150   0.09150   0.07893
  0.09250   0.09250   0.08067
  0.09350   0.09350   0.08244
  0.09450   0.09450   0.08426
  0.09550   0.09550   0.08612
  0.09650   0.09650   0.08801
  0.09750   0.09750   0.08993
  0.09850   0.09850   0.09188
  0.09950   0.09950   0.09386
  0.10050   0.10050   0.09586
  0.10150   0.10150   0.09788
  0.10250   0.10250   0.09991
  0.10350   0.10350   0.10196
  0.10450   0.10450   0.10401
  0.10550   0.10550   0.10607
  0.10650   0.10650   0.10812
  0.10750   0.10750   0.11018
  0.10850   0.10850   0.11222
  0.10950   0.10950   0.11426
  0.11050   0.11050   0.11628
  0.11150   0.11150   0.11828
  0.11250   0.11250   0.12026
  0.11350   0.11350   0.12221
  0.11450   0.11450   0.12414
  0.11550   0.11550   0.12603
  0.11650   0.11650   0.12789
  0.11750   0.11750   0.12971
  0.11850   0.11850   0.13149
  0.11950   0.11950   0.13322
  0.12050   0.12050   0.13491
  0.12150   0.12150   0.13654
  0.12250   0.12250   0.13813
  0.12350   0.12350   0.13965
  0.12450   0.12450   0.14113
  0.12550   0.12550   0.14254
  0.12650   0.12650   0.14389
  0.12750   0.12750   0.14519
  0.12850   0.12850   0.14642
  0.12950   0.12950   0.14758
  0.13050   0.13050   0.14869
  0.13150   0.13150   0.14973
  0.13250   0.13250   0.15070
  0.13350   0.13350   0.15160
  0.13450   0.13450   0.15245
  0.13550   0.13550   0.15322
  0.13650   0.13650   0.15394
  0.13750   0.13750   0.15459
  0.13850   0.13850   0.15518
  0.13950   0.13950   0.15570
  0.14050   0.14050   0.15617
  0.14150   0.14150   0.15658
  0.14250   0.14250   0.15694
  0.14350   0.14350   0.15724
  0.14450   0.14450   0.15748
  0.14550   0.14550   0.15769
  0.14650   0.14650   0.15784
  0.14750   0.14750   0.15795
  0.14850   0.14850   0.15802
  0.14950   0.14950   0.15806
  0.15050   0.15050   0.15806
  0.15150   0.15150   0.15803
  0.15250   0.15250   0.15797
  0.15350   0.15350   0.15789
  0.15450   0.15450   0.15779
  0.15550   0.15550   0.15768
  0.15650   0.15650   0.15755
  0.15750   0.15750   0.15742
  0.15850   0.15850   0.15728
  0.15950   0.15950   0.15714
  0.16050   0.16050   0.15701
  0.16150   0.16150   0.15689
  0.16250   0.16250   0.15678
  0.16350   0.16350   0.15668
  0.16450   0.16450   0.15661
  0.16550   0.16550   0.15656
  0.16650   0.16650   0.15654
  0.16750   0.16750   0.15655
  0.16850   0.16850   0.15660
  0.16950   0.16950   0.15668
  0.17050   0.17050   0.15681
  0.17150   0.17150   0.15699
  0.17250   0.17250   0.15721
  0.17350   0.17350   0.15748
  0.17450   0.17450   0.15781
  0.17550   0.17550   0.15820
  0.17650   0.17650   0.15865
  0.17750   0.17750   0.15916
  0.17850   0.17850   0.15973
  0.17950   0.17950   0.16037
  0.18050   0.18050   0.16107
  0.18150   0.18150   0.16185
  0.18250   0.18250   0.16269
  0.18350   0.18350   0.16361
  0.18450   0.18450   0.16459
  0.18550   0.18550   0.16565
  0.18650   0.18650   0.16678
  0.18750   0.18750   0.16797
  0.18850   0.18850   0.16924
  0.18950   0.18950   0.17058
  0.19050   0.19050   0.17199
  0.19150   0.19150   0.17347
  0.19250   0.19250   0.17502
  0.19350   0.19350   0.17663
  0.19450   0.19450   0.17830
  0.19550   0.19550   0.18003
  0.19650   0.19650   0.18182
  0.19750   0.19750   0.18367
  0.19850   0.19850   0.18558
  0.19950   0.19950   0.18753
  0.20050   0.20050   0.18953
  0.20150   0.20150   0.19157
  0.20250   0.20250   0.19366
  0.20350   0.20350   0.19578
  0.20450   0.20450   0.19793
  0.20550   0.20550   0.20011
  0.20650   0.20650   0.20232
  0.20750   0.20750   0.20455
  0.20850   0.20850   0.20679
  0.20950   0.20950   0.20905
  0.21050   0.21050   0.21132
  0.21150   0.21150   0.21358
  0.21250   0.21250   0.21585
  0.21350   0.21350   0.21811
  0.21450   0.21450   0.22036
  0.21550   0.21550   0.22260
  0.21650   0.21650   0.22482
  0.21750   0.21750   0.22701
  0.21850   0.21850   0.22917
  0.21950   0.21950   0.23130
